"row ID"	"Protein.Group"	"UniProt_Organism"	"Stripped.Sequence (Count)"	"PG.MaxLFQ+1_1_log2"	"PG.MaxLFQ+2_1_log2"	"PG.MaxLFQ+1_3_log2"	"PG.MaxLFQ+2_3_log2"	"PG.MaxLFQ+1_log2"	"PG.MaxLFQ+2_log2"
"Row0"	"A0A024RBG1"	"Homo sapiens (Human)"	1	1	1	1	1	1	1
"Row1"	"A0A087X0M5"	"Homo sapiens (Human)"	1	1	1	1	1	1	1
"Row2"	"A0AV96"	"Homo sapiens (Human)"	6	1	1	1	1	1	1
"Row3"	"A0JLT2"	"Homo sapiens (Human)"	1	1	1	1	1	1	1
"Row4"	"A1L020"	"Homo sapiens (Human)"	1	1	1	1		1	1
"Row5"	"A2A288"	"Homo sapiens (Human)"	2	1	1	1	1	1	1
"Row6"	"A2VDF0"	"Homo sapiens (Human)"	1	1			1		1
"Row7"	"A3KN83"	"Homo sapiens (Human)"	13	1	1	1	1	1	1
"Row8"	"A4D1U4"	"Homo sapiens (Human)"	3	1	1	1	1	1	1
"Row9"	"A5YKK6"	"Homo sapiens (Human)"	56	1	1	1	1	1	1
"Row10"	"A6NDU8"	"Homo sapiens (Human)"	3	1	1	1	1	1	1
"Row11"	"A6NFQ2"	"Homo sapiens (Human)"	8	1	1	1	1	1	1
"Row12"	"A6NHQ2"	"Homo sapiens (Human)"	1		1	1	1	1	
"Row13"	"A6NHT5"	"Homo sapiens (Human)"	3	1	1	1	1	1	1
"Row14"	"A6NJ78"	"Homo sapiens (Human)"	4	1	1	1	1	1	1
"Row15"	"A8MVU1"	"Homo sapiens (Human)"	1	1	1	1	1	1	1
"Row16"	"A9QM74"	"Homo sapiens (Human)"	1	1	1	1	1	1	1
"Row17"	"B0I1T2;O94832"	"Homo sapiens (Human);Homo sapiens (Human)"	2	1	1	1	1	1	1
"Row18"	"E9PAV3"	"Homo sapiens (Human)"	6	1	1	1	1	1	1
"Row19"	"I3L3R5"	"Homo sapiens (Human)"	1	1	1	1	1	1	1
"Row20"	"O00139"	"Homo sapiens (Human)"	19	1	1	1	1	1	1
"Row21"	"O00148;Q13838"	"Homo sapiens (Human);Homo sapiens (Human)"	10	1	1	1	1	1	1
"Row22"	"O00159"	"Homo sapiens (Human)"	13	1	1	1	1	1	1
"Row23"	"O00161"	"Homo sapiens (Human)"	3	1	1	1	1	1	1
"Row24"	"O00178"	"Homo sapiens (Human)"	16	1	1	1	1	1	1
"Row25"	"O00189"	"Homo sapiens (Human)"	1	1	1	1	1	1	1
"Row26"	"O00214"	"Homo sapiens (Human)"	2	1	1	1	1	1	1
"Row27"	"O00231"	"Homo sapiens (Human)"	21	1	1	1	1	1	1
"Row28"	"O00244"	"Homo sapiens (Human)"	2	1	1	1	1	1	1
"Row29"	"O00264"	"Homo sapiens (Human)"	6	1	1	1	1	1	1
"Row30"	"O00268"	"Homo sapiens (Human)"	8	1	1	1	1	1	1
"Row31"	"O00291_DOWN"	""	11	1	1	1	1	1	1
"Row32"	"O00308"	"Homo sapiens (Human)"	3	1	1	1	1	1	1
"Row33"	"O00330"	"Homo sapiens (Human)"	10	1	1	1	1	1	1
"Row34"	"O00410"	"Homo sapiens (Human)"	42	1	1	1	1	1	1
"Row35"	"O00418"	"Homo sapiens (Human)"	3	1	1	1	1	1	1
"Row36"	"O00425"	"Homo sapiens (Human)"	23	1	1	1	1	1	1
"Row37"	"O00442"	"Homo sapiens (Human)"	8	1	1	1	1	1	1
"Row38"	"O00459"	"Homo sapiens (Human)"	4	1	1	1	1	1	1
"Row39"	"O00462"	"Homo sapiens (Human)"	2	1	1	1	1	1	1
"Row40"	"O00471"	"Homo sapiens (Human)"	9	1	1	1	1	1	1
"Row41"	"O00487"	"Homo sapiens (Human)"	9	1	1	1	1	1	1
"Row42"	"O00505"	"Homo sapiens (Human)"	6	1	1	1	1	1	1
"Row43"	"O00506;Q9P289"	"Homo sapiens (Human);Homo sapiens (Human)"	2	1	1	1	1	1	1
"Row44"	"O00507"	"Homo sapiens (Human)"	1	1				1	1
"Row45"	"O00534"	"Homo sapiens (Human)"	2	1	1	1	1	1	1
"Row46"	"O00562"	"Homo sapiens (Human)"	14	1	1	1	1	1	1
"Row47"	"O00571"	"Homo sapiens (Human)"	9	1	1	1	1	1	1
"Row48"	"O00584"	"Homo sapiens (Human)"	5	1	1	1	1	1	1
"Row49"	"O00635"	"Homo sapiens (Human)"	6	1	1	1	1	1	1
"Row50"	"O00754"	"Homo sapiens (Human)"	14	1	1	1	1	1	1
"Row51"	"O00763;Q13085"	"Homo sapiens (Human);Homo sapiens (Human)"	5	1	1	1	1	1	1
"Row52"	"O14492"	"Homo sapiens (Human)"	4	1	1	1	1	1	1
"Row53"	"O14519"	"Homo sapiens (Human)"	3	1	1	1	1	1	1
"Row54"	"O14524"	"Homo sapiens (Human)"	2	1	1	1	1	1	1
"Row55"	"O14545"	"Homo sapiens (Human)"	11	1	1	1	1	1	1
"Row56"	"O14562"	"Homo sapiens (Human)"	4	1	1	1	1	1	1
"Row57"	"O14579"	"Homo sapiens (Human)"	11	1	1	1	1	1	1
"Row58"	"O14602;P47813"	"Homo sapiens (Human);Homo sapiens (Human)"	4	1	1	1	1	1	1
"Row59"	"O14618"	"Homo sapiens (Human)"	5	1	1	1	1	1	1
"Row60"	"O14646;O14647"	"Homo sapiens (Human);Homo sapiens (Human)"	4	1	1	1	1	1	1
"Row61"	"O14653"	"Homo sapiens (Human)"	4	1	1	1	1	1	1
"Row62"	"O14662"	"Homo sapiens (Human)"	2	1	1	1	1	1	1
"Row63"	"O14681"	"Homo sapiens (Human)"	3	1	1	1	1	1	1
"Row64"	"O14727"	"Homo sapiens (Human)"	10	1	1	1	1	1	1
"Row65"	"O14734"	"Homo sapiens (Human)"	6	1	1	1	1	1	1
"Row66"	"O14744"	"Homo sapiens (Human)"	21	1	1	1	1	1	1
"Row67"	"O14763"	"Homo sapiens (Human)"	2	1	1	1	1	1	1
"Row68"	"O14776"	"Homo sapiens (Human)"	29	1	1	1	1	1	1
"Row69"	"O14787;Q92973"	"Homo sapiens (Human);Homo sapiens (Human)"	6	1	1	1	1	1	1
"Row70"	"O14818"	"Homo sapiens (Human)"	13	1	1	1	1	1	1
"Row71"	"O14862"	"Homo sapiens (Human)"	2	1	1	1	1	1	1
"Row72"	"O14880"	"Homo sapiens (Human)"	2	1	1	1	1	1	1
"Row73"	"O14920"	"Homo sapiens (Human)"	11	1	1	1	1	1	1
"Row74"	"O14933"	"Homo sapiens (Human)"	8	1	1	1	1	1	1
"Row75"	"O14965"	"Homo sapiens (Human)"	6	1	1	1	1	1	1
"Row76"	"O14966;P57729"	"Homo sapiens (Human);Homo sapiens (Human)"	1	1	1	1	1	1	1
"Row77"	"O14976"	"Homo sapiens (Human)"	20	1	1	1	1	1	1
"Row78"	"O14980"	"Homo sapiens (Human)"	43	1	1	1	1	1	1
"Row79"	"O15020"	"Homo sapiens (Human)"	9	1	1	1	1	1	1
"Row80"	"O15020;Q01082"	"Homo sapiens (Human);Homo sapiens (Human)"	5	1	1	1	1	1	1
"Row81"	"O15031"	"Homo sapiens (Human)"	9	1	1	1	1	1	1
"Row82"	"O15040"	"Homo sapiens (Human)"	1	1	1	1	1	1	1
"Row83"	"O15056"	"Homo sapiens (Human)"	2	1	1	1	1		
"Row84"	"O15066;Q9Y496"	"Homo sapiens (Human);Homo sapiens (Human)"	1	1	1	1	1	1	1
"Row85"	"O15084;Q8N8A2"	"Homo sapiens (Human);Homo sapiens (Human)"	2	1	1	1	1	1	1
"Row86"	"O15111"	"Homo sapiens (Human)"	12	1	1	1	1	1	1
"Row87"	"O15121"	"Homo sapiens (Human)"	2	1	1	1	1	1	1
"Row88"	"O15143"	"Homo sapiens (Human)"	18	1	1	1	1	1	1
"Row89"	"O15145"	"Homo sapiens (Human)"	8	1	1	1	1	1	1
"Row90"	"O15162"	"Homo sapiens (Human)"	3	1	1	1	1	1	1
"Row91"	"O15178"	"Homo sapiens (Human)"	2	1	1	1	1	1	1
"Row92"	"O15226"	"Homo sapiens (Human)"	15	1	1	1	1	1	1
"Row93"	"O15235"	"Homo sapiens (Human)"	3	1	1	1	1	1	1
"Row94"	"O15258"	"Homo sapiens (Human)"	4	1	1	1	1	1	1
"Row95"	"O15269"	"Homo sapiens (Human)"	16	1	1	1	1	1	1
"Row96"	"O15294"	"Homo sapiens (Human)"	19	1	1	1	1	1	1
"Row97"	"O15318"	"Homo sapiens (Human)"	2	1	1	1	1	1	1
"Row98"	"O15347"	"Homo sapiens (Human)"	4	1	1	1	1	1	1
"Row99"	"O15357;Q92835"	"Homo sapiens (Human);Homo sapiens (Human)"	2	1	1	1	1	1	1
"Row100"	"O15372"	"Homo sapiens (Human)"	18	1	1	1	1	1	1
"Row101"	"O15382"	"Homo sapiens (Human)"	14	1	1	1	1	1	1
"Row102"	"O15397;O95373"	"Homo sapiens (Human);Homo sapiens (Human)"	1	1	1	1	1	1	1
"Row103"	"O15431"	"Homo sapiens (Human)"	1	1	1	1			1
"Row104"	"O15446"	"Homo sapiens (Human)"	7	1	1	1	1	1	1
"Row105"	"O15511"	"Homo sapiens (Human)"	8	1	1	1	1	1	1
"Row106"	"O15523"	"Homo sapiens (Human)"	4	1	1	1	1	1	1
"Row107"	"O15533"	"Homo sapiens (Human)"	10	1	1	1	1	1	1
"Row108"	"O43143"	"Homo sapiens (Human)"	31	1	1	1	1	1	1
"Row109"	"O43149"	"Homo sapiens (Human)"	8	1	1	1	1	1	1
"Row110"	"O43164"	"Homo sapiens (Human)"	1	1	1	1	1	1	1
"Row111"	"O43172"	"Homo sapiens (Human)"	20	1	1	1	1	1	1
"Row112"	"O43182"	"Homo sapiens (Human)"	5	1	1	1	1	1	1
"Row113"	"O43242"	"Homo sapiens (Human)"	32	1	1	1	1	1	1
"Row114"	"O43264"	"Homo sapiens (Human)"	18	1	1	1	1	1	1
"Row115"	"O43299"	"Homo sapiens (Human)"	6	1	1	1	1	1	1
"Row116"	"O43314;Q6PFW1"	"Homo sapiens (Human);Homo sapiens (Human)"	4	1	1	1	1	1	1
"Row117"	"O43353"	"Homo sapiens (Human)"	7	1	1	1	1	1	1
"Row118"	"O43390"	"Homo sapiens (Human)"	20	1	1	1	1	1	1
"Row119"	"O43396"	"Homo sapiens (Human)"	11	1	1	1	1	1	1
"Row120"	"O43414"	"Homo sapiens (Human)"	3	1	1	1	1	1	1
"Row121"	"O43432"	"Homo sapiens (Human)"	8	1	1	1	1	1	1
"Row122"	"O43463"	"Homo sapiens (Human)"	1	1	1	1	1	1	1
"Row123"	"O43488"	"Homo sapiens (Human)"	9	1	1	1	1	1	1
"Row124"	"O43502"	"Homo sapiens (Human)"	2	1	1	1	1	1	1
"Row125"	"O43566"	"Homo sapiens (Human)"	12	1	1	1	1	1	1
"Row126"	"O43598"	"Homo sapiens (Human)"	6	1	1	1	1	1	1
"Row127"	"O43633"	"Homo sapiens (Human)"	7	1	1	1	1	1	1
"Row128"	"O43660"	"Homo sapiens (Human)"	17	1	1	1	1	1	1
"Row129"	"O43670"	"Homo sapiens (Human)"	6	1	1	1	1	1	1
"Row130"	"O43677"	"Homo sapiens (Human)"	1	1	1	1	1	1	1
"Row131"	"O43683"	"Homo sapiens (Human)"	5	1	1	1	1	1	1
"Row132"	"O43707;P12814"	"Homo sapiens (Human);Homo sapiens (Human)"	17	1	1	1	1	1	1
"Row133"	"O43709"	"Homo sapiens (Human)"	4	1	1	1	1	1	1
"Row134"	"O43719"	"Homo sapiens (Human)"	13	1	1	1	1	1	1
"Row135"	"O43739;Q15438;Q99418;Q9UIA0"	"Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)"	1	1	1	1	1	1	1
"Row136"	"O43752"	"Homo sapiens (Human)"	5	1	1	1	1	1	1
"Row137"	"O43765"	"Homo sapiens (Human)"	10	1	1	1	1	1	1
"Row138"	"O43772"	"Homo sapiens (Human)"	6	1	1	1	1	1	1
