"row ID"	"Protein.Group"	"LIMMA_B-A.adj.P.Val"	"LIMMA_B-A_all.logFC"
"Row0"	"A0A024RBG1"	0.726982424428599	-0.5567423073390607
"Row1"	"A0A087X0M5"	0.8538299893648249	-0.21236226677438097
"Row2"	"A0AV96"	0.9145653346035815	-0.042001833239382336
"Row3"	"A0JLT2"	0.9539690071914972	0.11572364023715664
"Row4"	"A1L020"	0.9967177480805762	-0.01133376045069312
"Row5"	"A2A288"	0.7622978404356403	0.18127647462349472
"Row6"	"A2VDF0"	0.726982424428599	0.3535022261443892
"Row7"	"A3KN83"	0.726982424428599	-0.15750048833975328
"Row8"	"A4D1U4"	0.726982424428599	0.16260395781481307
"Row9"	"A5YKK6"	0.9126721698195096	0.042862737523400085
"Row10"	"A6NDU8"	0.9145653346035815	-0.04506107828103367
"Row11"	"A6NFQ2"	0.726982424428599	-0.10001352552807674
"Row12"	"A6NHQ2"	0.9889898606255756	0.01572874335182206
"Row13"	"A6NHT5"	0.06246342701760374	0.6141513333879587
"Row14"	"A6NJ78"	0.9423855553916195	0.10740448479318943
"Row15"	"A8MVU1"	0.726982424428599	0.943728226089581
"Row16"	"A9QM74"	0.9126721698195096	-0.0969047383850743
"Row17"	"B0I1T2;O94832"	0.726982424428599	-0.3102477737259477
"Row18"	"E9PAV3"	0.726982424428599	-0.07427099539735593
"Row19"	"I3L3R5"	0.726982424428599	-0.7478712726024952
"Row20"	"O00139"	0.9145653346035815	-0.03447757327644041
"Row21"	"O00148;Q13838"	0.9889898606255756	0.010202149555041728
"Row22"	"O00159"	0.726982424428599	-0.23950667338039366
"Row23"	"O00161"	0.726982424428599	0.26877269752235833
"Row24"	"O00178"	0.9951478989977955	0.008394476785049676
"Row25"	"O00189"	0.9970115125985914	-0.0020896795549631975
"Row26"	"O00214"	0.9126721698195096	0.22627497749891745
"Row27"	"O00231"	0.9423855553916195	-0.025156121244140905
"Row28"	"O00244"	0.726982424428599	0.6193665631491356
"Row29"	"O00264"	0.9653198296507479	0.025571185443805433
"Row30"	"O00268"	0.8527141467215387	-0.12010424684057597
"Row31"	"O00291_DOWN"	0.0007184167439004864	-1.672847482839348
"Row32"	"O00308"	0.726982424428599	0.3386647099334752
"Row33"	"O00330"	0.9423855553916195	-0.03144959759028865
"Row34"	"O00410"	0.9962833739692933	0.005619034811047641
"Row35"	"O00418"	0.7848427507074941	-0.16474888049937064
